# textflood 3840x2400 step=25 epoch_ms=1785580824692.086 mono_ms=1615431319.360
frame	loop_start_ms	render_ms	blit_ms	sync_ms
293	1615435855.991	11.731	0.000	3.079
294	1615435870.808	10.757	0.001	2.161
295	1615435883.735	11.034	0.001	4.926
296	1615435899.710	14.479	0.000	2.181
297	1615435916.379	12.102	0.001	2.091
298	1615435930.578	12.480	0.001	2.488
299	1615435945.552	12.832	0.001	2.831
300	1615435961.221	13.606	0.001	2.446
301	1615435977.278	12.816	0.003	2.579
302	1615435992.683	13.317	0.001	2.004
303	1615436008.008	12.514	0.001	2.120
304	1615436022.648	13.537	0.001	2.627
305	1615436038.835	12.313	0.000	2.201
306	1615436053.354	12.979	0.001	2.424
307	1615436068.762	12.367	0.001	2.141
308	1615436083.276	12.279	0.001	2.485
309	1615436098.048	14.827	0.000	1.959
310	1615436114.837	12.117	0.001	2.974
311	1615436129.937	14.815	0.001	2.195
312	1615436146.952	11.999	0.001	3.252
313	1615436162.209	12.947	0.001	3.296
314	1615436178.457	11.560	0.000	1.878
315	1615436191.899	11.929	0.001	6.164
316	1615436210.017	13.287	0.005	2.354
317	1615436225.679	12.719	0.004	2.686
318	1615436241.106	11.293	0.001	2.273
319	1615436254.681	11.875	0.001	3.053
320	1615436269.616	11.298	0.001	2.413
321	1615436284.174	12.561	0.002	2.184
322	1615436298.928	13.108	0.001	2.137
323	1615436314.178	12.155	0.001	6.202
324	1615436332.544	12.891	0.001	2.369
325	1615436347.812	13.452	0.001	2.100
326	1615436363.375	14.095	0.003	2.034
327	1615436379.515	13.718	0.003	4.420
328	1615436397.660	13.319	0.001	2.116
329	1615436413.103	13.442	0.001	2.143
330	1615436428.694	13.892	0.001	2.011
331	1615436444.602	15.004	0.002	3.409
332	1615436463.022	14.438	0.001	2.227
333	1615436479.694	14.272	0.001	2.284
334	1615436496.256	14.422	0.001	2.164
335	1615436512.849	14.254	0.002	6.147
336	1615436533.269	15.903	0.004	2.397
337	1615436551.980	14.702	0.003	4.334
338	1615436571.036	13.502	0.001	2.230
339	1615436586.779	13.102	0.001	6.037
