# textflood 3840x2160 step=25 epoch_ms=1785502285769.710 mono_ms=58627596.037
frame	loop_start_ms	render_ms	blit_ms	sync_ms
338	58646592.353	37.173	0.002	6.998
339	58646636.538	35.179	0.002	7.848
340	58646679.576	36.863	0.002	7.318
341	58646723.771	28.671	0.002	7.009
342	58646759.463	38.498	0.002	9.749
343	58646807.725	36.948	0.002	6.906
344	58646851.592	26.562	0.002	7.036
345	58646885.202	38.823	0.002	12.656
346	58646936.693	26.915	0.003	7.029
347	58646970.650	28.585	0.002	8.016
348	58647007.270	41.508	0.002	7.073
349	58647055.862	33.499	0.002	6.909
350	58647096.282	37.143	0.003	7.499
351	58647140.937	31.349	0.002	7.012
352	58647179.314	25.050	0.003	6.874
353	58647211.264	39.447	0.003	15.662
354	58647266.386	24.154	0.003	7.686
355	58647298.239	23.798	0.002	6.990
356	58647329.039	37.539	0.002	7.480
357	58647374.070	35.228	0.002	6.818
358	58647416.132	34.307	0.003	7.817
359	58647458.274	38.796	0.003	15.659
360	58647512.741	32.921	0.004	7.654
361	58647553.333	39.491	0.003	7.342
362	58647600.180	29.900	0.002	6.664
363	58647636.757	28.949	0.002	7.143
364	58647672.859	31.053	0.003	8.011
365	58647711.940	36.995	0.002	7.094
366	58647756.041	27.671	0.002	6.747
367	58647790.471	26.169	0.002	6.863
368	58647823.515	47.408	0.003	7.508
369	58647878.454	28.645	0.003	6.651
370	58647913.763	25.470	0.002	7.167
371	58647946.416	36.631	0.002	15.323
372	58647998.381	29.948	0.003	7.043
373	58648035.385	26.304	0.002	7.222
374	58648068.924	37.120	0.003	16.118
375	58648122.175	27.395	0.002	7.045
376	58648156.628	35.098	0.003	7.491
377	58648199.248	31.796	0.002	6.726
378	58648237.782	36.770	0.003	6.931
379	58648281.499	38.463	0.002	7.335
380	58648327.309	37.471	0.003	6.863
381	58648371.655	26.624	0.002	7.116
382	58648405.406	43.466	0.002	12.980
383	58648461.866	28.314	0.002	7.096
384	58648497.290	30.897	0.003	7.095
385	58648535.303	38.824	0.003	7.174
386	58648581.314	27.052	0.003	7.030
387	58648615.408	27.354	0.003	6.842
388	58648649.618	37.542	0.004	7.412
389	58648694.586	33.642	0.003	7.142
390	58648735.382	27.899	0.003	7.144
391	58648770.437	44.533	0.003	15.974
392	58648830.959	29.385	0.003	7.049
393	58648867.408	35.923	0.003	7.408
394	58648910.754	33.381	0.003	7.988
